Keyword;Avg. monthly searches;Cambio en los últimos tres meses;Cambio interanual;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);In account?;Searches: Nov 2023;Searches: Dec 2023;Searches: Jan 2024;Searches: Feb 2024;Searches: Mar 2024;Searches: Apr 2024;Searches: May 2024;Searches: Jun 2024;Searches: Jul 2024;Searches: Aug 2024;Searches: Sep 2024;Searches: Oct 2024;Searches: Nov 2024
consulta laboralista;40;33%;-20%;Medio;59;$188,64;632,16;;50;40;50;70;50;40;50;40;40;20;30;30;40
consulta abogados online;40;50%;-25%;Alto;76;$165,13;1095,95;;40;40;40;30;90;50;40;40;30;50;20;30;30
consulta abogado online gratis;40;33%;33%;Medio;66;$102,11;347,16;;30;40;30;30;40;30;30;30;40;40;30;40;40
consulta abogado laboralista;40;-40%;-40%;Alto;93;$464,20;1164,02;;50;40;40;50;70;40;40;50;50;50;50;50;30
consulta abogado laboral;40;-40%;-40%;Alto;93;$464,20;1164,02;;50;40;40;50;70;40;40;50;50;50;50;50;30
consulta a un abogado online gratis;40;33%;33%;Medio;66;$102,11;347,16;;30;40;30;30;40;30;30;30;40;40;30;40;40
coberturas de seguros de autos;40;-25%;0%;Alto;72;$313,08;1155,75;;30;30;50;30;30;40;40;20;50;30;40;50;30
causa de accidentes laborales;40;50%;-25%;Bajo;12;$50,59;2042,14;;40;30;10;10;40;70;90;30;20;20;20;40;30
carta documento art;40;-33%;-50%;Bajo;28;$71,18;436,14;;40;30;40;30;40;30;40;30;40;40;30;50;20
calculo de indemnizacion por incapacidad;40;-20%;0%;Medio;57;$40,59;119,79;;40;30;30;30;40;30;40;30;30;30;50;30;40
cálculo de indemnización por accidente de tránsito argentina;40;200%;200%;Alto;72;$180,80;585,99;;10;10;10;20;30;50;20;30;10;10;10;70;30
calculadora de porcentaje de incapacidad;40;0%;-25%;Bajo;21;$26,36;80,23;;40;20;30;50;30;50;40;20;30;30;30;30;30
calculadora de indemnización por incapacidad;40;0%;0%;Medio;57;$42,14;153,16;;50;50;50;50;70;50;50;40;40;50;50;70;50
art in itinere;40;67%;0%;Medio;39;$32,80;136,64;;50;30;40;20;50;40;40;30;30;40;30;40;50
accidentes in itinere ejemplos argentina;40;-33%;-50%;Medio;59;$69,69;217,02;;40;10;10;20;30;90;110;50;20;30;30;30;20
accidente yendo a trabajar;40;0%;0%;Medio;47;$47,32;324,75;;40;20;30;30;30;30;50;20;40;50;40;50;40
accidente in itinere que es;40;-80%;-75%;Bajo;26;$32,65;122,25;;40;50;20;20;30;50;40;40;50;40;50;50;10
accidente ejemplo;40;-50%;-33%;Bajo;1;;;;30;20;10;10;50;70;70;40;40;30;40;20;20
accidente de trabajo docente;40;-67%;-86%;Bajo;23;$55,70;100,56;;70;40;0;20;30;40;30;30;20;30;30;30;10
abogados online argentina;40;50%;-57%;Alto;84;$222,03;1000,65;;70;50;40;30;50;30;40;20;30;40;20;20;30
abogados laborales gratuitos en capital federal;40;50%;-57%;Alto;98;$303,49;1039,86;;70;40;40;70;40;50;30;40;40;50;20;30;30
abogados laborales gratis córdoba;40;0%;0%;Alto;73;$112,32;394,22;;40;40;30;40;70;40;30;70;50;40;40;30;40
abogados del trabajo;40;75%;0%;Bajo;29;$443,71;1559,42;;70;40;40;90;70;50;30;30;50;40;40;30;70
abogados de art;40;67%;67%;Alto;76;$332,32;1621,65;;30;20;40;30;30;50;30;20;10;20;30;70;50
abogados de accidentes;40;-40%;0%;Medio;58;$506,65;1913,74;;30;30;30;20;50;40;50;40;30;40;50;20;30
abogados córdoba gratis;40;0%;0%;Alto;70;$52,85;275,69;;20;30;20;40;20;20;40;30;10;10;20;20;20
abogados accidentes;40;0%;0%;Medio;61;$591,18;1782,92;;30;50;70;50;50;90;50;50;40;70;30;40;30
abogados 24 hs;40;33%;0%;Alto;79;$112,32;633,06;;40;40;30;30;40;50;50;40;50;30;30;30;40
abogado online argentina;40;50%;-57%;Alto;84;$222,03;1000,65;;70;50;40;30;50;30;40;20;30;40;20;20;30
abogado laboral zona oeste;40;0%;0%;Alto;83;$307,11;909,54;;50;20;30;40;70;40;20;90;70;50;50;30;50
abogado laboral art;40;-33%;-50%;Alto;76;$520,14;1573,74;;40;20;20;20;40;30;20;10;50;20;30;30;20
abogado garcía;40;-60%;-50%;Medio;44;$55,34;158,26;;40;30;40;40;70;50;40;30;40;50;50;40;20
tramite sucesorio;30;-25%;0%;Medio;47;$4,95;309,91;;30;20;20;40;30;30;40;40;30;50;40;50;30
trabajo para abogados en argentina;30;100%;-33%;Medio;40;$15,65;389,63;;30;20;50;10;20;30;20;10;20;10;10;10;20
trabajar derecho;30;-50%;-33%;Bajo;7;;;;30;20;10;10;40;70;40;30;30;30;40;20;20
tabla incapacidad laboral;30;-50%;-50%;Bajo;16;$40,42;66,86;;20;30;30;30;20;50;40;40;30;20;20;10;10
tabla de incapacidades laborales 2021 argentina;30;0%;0%;Bajo;0;;;;10;10;10;10;20;10;10;10;10;10;10;10;10
sucesion tramite;30;0%;33%;Medio;55;$66,16;323,55;;30;20;40;30;30;50;30;30;30;30;40;40;40
sucesion declaratoria de herederos;30;50%;0%;Medio;50;$40,84;211,31;;30;20;10;20;30;40;40;20;20;30;20;30;30
sucesión de propiedad;30;0%;50%;Medio;63;$38,88;318,54;;20;20;30;40;40;50;50;30;40;30;30;30;30
simulador de indemnización art;30;25%;400%;Medio;62;$57,00;208,61;;10;10;30;40;40;30;50;30;30;50;40;50;50
si estoy por art quien me paga el sueldo;30;33%;0%;Medio;57;$71,47;310,49;;40;50;40;50;50;30;30;20;20;20;30;30;40
seguros y riesgos indemnizacion;30;100%;-60%;Bajo;28;$111,37;415,57;;50;70;20;20;20;10;10;10;10;10;10;10;20
seguro por accidente laboral;30;0%;0%;Alto;88;$270,47;1414,35;;30;10;40;40;30;30;10;10;40;30;30;20;30
seguro de accidente laboral;30;-33%;-50%;Alto;84;$455,48;1659,83;;40;10;20;20;40;20;40;20;30;50;30;30;20
rechazo de siniestro art;30;0%;-33%;Medio;40;$58,69;345,11;;30;20;30;30;20;30;30;20;20;30;20;20;20
rechazo art;30;33%;33%;Bajo;20;$22,46;62,55;;30;20;30;20;20;30;30;30;20;40;30;40;40
protrusión discal posterior;30;50%;50%;Bajo;8;;;;20;30;30;20;40;20;30;30;30;20;20;40;30
prestaciones de la art;30;0%;-60%;Bajo;33;$40,16;96,82;;50;30;10;20;10;30;50;20;30;20;20;20;20
porcentaje de art;30;-50%;-33%;Medio;34;$42,27;163,37;;30;20;40;20;20;20;30;20;20;40;40;40;20
porcentaje art;30;0%;0%;Medio;38;$60,73;216,02;;30;30;40;40;30;40;40;50;20;20;30;20;30
indemnizacion de art por accidente laboral;30;-67%;-80%;Alto;76;$53,09;162,31;Y;50;40;20;40;20;50;30;40;20;10;30;20;10
pago de indemnización por despido;30;200%;0%;Medio;54;$16,57;204,21;;30;50;50;30;50;70;70;40;20;20;10;20;30
operación de perone;30;50%;50%;Bajo;3;;;;20;20;40;30;20;20;20;20;20;30;20;40;30
numeros de abogados laborales;30;50%;50%;Alto;81;$284,27;1246,15;;20;30;30;50;30;40;40;20;30;50;20;30;30
accidentes de trabajo abogados;30;0%;-71%;Medio;61;$391,86;1537,83;Y;70;10;20;20;30;30;20;30;20;20;20;30;20
motivos de despido;30;0%;50%;Bajo;15;$2,71;125,41;;20;20;20;20;30;20;30;20;30;20;30;30;30
logo de abogacia;30;50%;0%;Bajo;10;$30,63;91,9;;30;40;10;40;50;20;40;20;30;20;20;20;30
liquidacion por accidente de trabajo;30;-33%;-50%;Medio;63;$65,76;247,19;;40;10;20;40;30;40;50;20;20;30;30;30;20
leyes abogado;30;0%;0%;Bajo;10;$40,84;66461,36;;20;20;10;30;30;50;70;20;20;30;20;30;20
ley despido;30;-50%;0%;Bajo;26;$2,72;237,14;;20;70;30;10;30;70;70;40;30;30;40;30;20
ley de despido laboral;30;-20%;300%;Medio;47;$8,03;196,43;;10;10;20;50;40;30;50;30;10;20;50;30;40
ley de contrato de trabajo despido sin causa;30;-40%;-40%;Medio;35;$52,57;308,87;;50;40;20;20;30;40;20;20;30;40;50;30;30
legal trabajo;30;-20%;300%;Bajo;17;$20,42;224,64;;10;10;20;30;20;30;40;20;30;70;50;50;40
la art te paga el sueldo;30;100%;-33%;Medio;53;$62,32;169,56;;30;40;70;50;30;50;50;50;30;30;10;30;20
junta medica por art;30;-25%;50%;Bajo;31;$30,55;87,47;;20;10;40;20;30;20;40;30;30;50;40;30;30
junta médica art;30;0%;-80%;Bajo;5;;;;50;10;40;20;20;30;10;10;10;20;10;10;10
junta medica art;30;-25%;200%;Bajo;9;$54,10;102,11;;10;30;30;20;30;30;30;40;10;20;40;20;30
juicio art por incapacidad;30;0%;-33%;Medio;66;$41,08;139,9;;30;40;20;20;20;20;10;30;20;20;20;10;20
informe accidente de transito;30;-50%;0%;Bajo;20;$62,10;143,85;;20;10;20;20;20;30;20;30;20;20;40;40;20
indemnizacion x despido;30;50%;0%;Medio;50;$43,53;185,01;;30;30;20;30;40;50;50;20;20;20;20;20;30
indemnizacion por invalidez;30;-25%;50%;Bajo;23;$41,10;109,47;;20;30;20;20;20;10;10;20;20;30;40;40;30
indemnización por fractura de muñeca;30;0%;-33%;Medio;39;$45,57;214,42;;30;20;50;40;30;30;40;40;30;40;20;30;20
indemnización por discapacidad laboral;30;33%;-20%;Medio;54;$41,14;148,14;;50;40;30;50;40;50;30;40;50;30;30;40;40
incapacidad laboral temporaria ejemplos;30;-50%;-67%;Bajo;10;;;;30;10;10;10;20;20;20;40;20;20;20;20;10
ia abogado;30;0%;0%;Medio;61;$61,26;255,27;;20;10;10;10;20;10;20;10;10;10;20;10;20
honorarios por sucesion;30;-33%;-50%;Medio;49;$56,75;203,82;;40;30;10;30;30;40;40;30;20;30;30;20;20
hernia en la columna tratamiento;30;0%;-67%;Medio;42;$30,63;70,6;;30;30;10;30;10;30;10;30;10;20;10;20;10
hernia de disco lumbar tratamiento sin cirugia;30;0%;50%;Medio;61;$27,52;69,54;;20;20;10;10;20;10;10;20;20;30;30;20;30
gastos de sucesion;30;-25%;50%;Medio;61;$57,18;268,05;;20;30;20;30;30;40;30;30;30;20;40;30;30
estudios de abogados en capital federal;30;-40%;50%;Medio;64;$179,12;498,47;;20;30;50;20;10;20;30;10;20;20;50;50;30
estudio juridico y asociados;30;33%;100%;Medio;49;$147,10;510,29;;20;30;20;40;30;20;40;20;30;40;30;40;40
estudio juridico digital;30;-33%;0%;Bajo;29;$24,02;81,18;;20;20;30;30;50;10;40;30;40;30;30;30;20
ejemplo de despido sin causa;30;100%;-43%;Bajo;19;$63,65;245,06;;70;30;10;10;10;10;10;20;30;20;20;30;40
diferencia entre despido con causa y sin causa;30;0%;-57%;Bajo;30;$48,77;175,47;;70;40;10;20;20;10;30;40;20;20;30;40;30
diferencia entre declaratoria de herederos y sucesion;30;-33%;0%;Bajo;24;$55,97;248,29;;20;30;30;30;30;40;40;30;40;50;30;30;20
dictamen medico art;30;0%;-25%;Bajo;14;$71,92;164,38;;40;20;50;20;40;30;20;50;10;30;30;30;30
despido por faltas injustificadas;30;-33%;0%;Bajo;30;$30,63;321,21;;20;10;30;10;20;10;30;20;20;20;30;20;20
despido laboral argentina;30;0%;50%;Medio;58;$76,04;269,21;;20;20;10;10;10;30;40;20;20;30;30;30;30
despido injusto;30;0%;-25%;Medio;66;$128,53;501,62;;40;20;10;30;40;50;50;40;20;30;30;30;30
despido después de accidente laboral argentina;30;0%;-67%;Medio;62;;;;30;30;40;30;20;10;20;10;10;10;10;10;10
despido de empleados;30;-33%;-60%;Medio;38;$30,11;285,9;;50;90;50;30;50;50;50;30;10;20;30;20;20
denuncia enfermedad profesional art;30;0%;0%;Medio;42;$66,89;325,7;;20;40;20;20;20;30;40;20;30;30;20;30;20
curso sucesiones;30;-33%;-60%;Alto;70;$61,26;153,62;;50;10;20;50;30;30;30;40;30;30;30;20;20
cobertura de art;30;0%;-25%;Medio;59;$102,11;529,81;;40;20;30;10;20;40;30;30;30;20;30;30;30
casos de accidentes laborales;30;-40%;-25%;Medio;52;$8,29;102,11;;40;20;10;10;20;70;50;40;30;50;50;30;30
calculo de ripte;30;-25%;50%;Bajo;22;$27,50;56,55;;20;20;20;40;30;30;50;40;30;20;40;40;30
calcular porcentaje art;30;0%;0%;Medio;56;$40,67;123,05;;20;10;30;30;30;30;40;20;20;20;20;20;20
calculadora por accidente de trabajo;30;0%;-50%;Medio;38;$64,60;305,13;;40;20;30;20;20;30;20;20;20;20;20;20;20
calculadora para indemnización;30;-40%;-25%;Medio;39;$23,01;132,55;;40;20;30;40;50;30;50;30;20;30;50;50;30
calculadora de juicio laboral;30;-33%;-60%;Medio;52;$41,82;90,5;;50;30;20;30;40;40;40;30;30;30;30;20;20
calculadora de art seguro y riesgos;30;-33%;100%;Alto;74;$72,87;325,24;;10;30;30;50;20;40;30;20;30;30;30;30;20
calculador de incapacidad;30;-67%;-50%;Bajo;24;$40,04;74,93;;20;20;40;30;50;20;40;30;30;40;30;10;10
baremo accidentes de transito;30;50%;50%;Bajo;12;$124,98;684,71;;20;10;10;50;40;30;30;30;30;40;20;30;30
asesor legal gratis;30;-67%;-50%;Medio;60;$83,07;388,01;;20;40;40;20;30;20;20;20;30;30;30;30;10
art pago por accidente laboral;30;50%;-25%;Alto;70;$41,14;207,32;;40;20;20;10;10;20;20;30;20;30;20;40;30
art indemnización por esguince de tobillo argentina;30;-25%;0%;Alto;82;$67,28;490,11;;30;10;30;10;40;40;20;20;10;10;40;30;30
art cuando cubre;30;0%;-25%;Medio;57;$65,83;246,1;;40;40;20;30;30;30;30;40;40;30;30;50;30
art cobertura;30;0%;-60%;Medio;62;$87,20;550,8;;50;30;30;20;20;30;40;30;30;30;20;20;20
alta médica art disconformidad;30;0%;-50%;Bajo;13;;;;20;10;10;10;10;30;10;20;10;10;10;20;10
accidente laboral art indemnización;30;0%;-75%;Alto;72;$49,76;146,64;;40;40;10;10;10;10;20;20;20;20;10;10;10
accidente de trabajo causas;30;100%;0%;Bajo;19;$66,44;165,73;;40;30;10;20;30;50;50;20;30;20;20;30;40
abogados y abogadas;30;300%;100%;Bajo;2;;;;20;10;10;10;10;30;20;110;20;50;10;20;40
abogados por accidentes de transito;30;0%;100%;Alto;87;$616,51;2798,6;;10;20;20;40;40;20;40;30;20;20;20;30;20
abogados para accidentes de tránsito;30;0%;0%;Alto;86;$407,01;1474,83;;20;40;30;30;30;40;50;10;40;30;20;20;20
abogados laborales online;30;-50%;0%;Alto;86;$336,34;1206,67;;20;20;20;30;20;40;20;20;20;10;40;30;20
abogados laborales gratis mendoza;30;200%;-25%;Alto;85;$67,16;777;;40;50;30;30;30;50;10;20;20;50;10;50;30
abogados especialistas;30;-33%;-33%;Medio;58;$159,07;582,01;;30;10;40;30;30;20;40;20;40;30;30;20;20
abogados digital;30;50%;50%;Medio;47;$154,23;481,74;;20;10;30;20;50;20;20;40;20;30;20;30;30
abogados art capital federal;30;-33%;-33%;Alto;92;$155,32;1201,28;;30;20;20;30;40;40;50;40;40;50;30;30;20
abogado siniestros autos;30;-33%;-60%;Alto;84;$529,68;2965,33;;50;50;50;30;30;20;30;20;50;50;30;30;20
abogado médico;30;-25%;-25%;Medio;51;$132,98;716,05;;40;20;30;40;50;20;30;30;20;40;40;30;30
abogado laboralista online;30;-50%;0%;Alto;86;$336,34;1206,67;;20;20;20;30;20;40;20;20;20;10;40;30;20
abogado laboralista famoso;30;0%;100%;Medio;52;$155,56;580,06;;10;40;30;30;20;20;20;20;30;20;20;10;20
abogado laboral online;30;-50%;0%;Alto;86;$336,34;1206,67;;20;20;20;30;20;40;20;20;20;10;40;30;20
abogado laboral argentina;30;-50%;-60%;Alto;87;$564,69;1633,71;;50;20;30;20;30;40;40;50;30;20;40;20;20
abogado juridico;30;50%;-25%;Medio;57;$120,06;465,84;;40;40;20;20;40;30;30;40;20;30;20;10;30
abogado especial;30;-33%;-33%;Medio;58;$159,07;582,01;;30;10;40;30;30;20;40;20;40;30;30;20;20
abogada salario;30;-33%;0%;Bajo;0;;;;20;20;20;20;40;30;40;20;30;20;30;20;20
abogacia en buenos aires;30;50%;0%;Alto;76;$318,00;5166,36;;30;30;30;50;20;40;30;20;40;40;20;20;30
a que se considera accidente de trabajo;30;0%;-60%;Medio;35;$63,69;139,01;;50;30;10;10;10;50;20;40;10;30;20;30;20
valor mensual del ingreso base;20;0%;-67%;Bajo;20;$29,41;45,11;;30;30;20;20;10;20;10;10;10;10;10;10;10
valor de los dedos en accidentes laborales;20;0%;100%;Medio;51;$40,55;120,62;;10;10;10;10;10;10;10;10;10;20;20;20;20
accidente laboral cuanto se cobra;20;33%;100%;Medio;59;$54,63;296,11;Y;20;10;30;30;30;30;30;20;10;20;30;30;40
indemnización por accidente in itinere;20;0%;0%;Alto;81;$92,56;493,26;Y;10;10;20;10;20;10;10;10;10;10;10;10;10
tuve un accidente laboral;20;-33%;100%;Alto;67;$66,46;590,09;;10;30;30;20;30;30;20;30;20;20;30;30;20
accidente de trabajo indemnización;20;100%;-33%;Medio;45;$66,09;368,51;Y;30;10;20;20;10;30;30;20;10;30;10;10;20
tus abogados;20;-50%;-50%;Medio;49;$57,31;328,78;;20;10;10;10;10;20;10;20;20;10;20;10;10
tu abogado;20;-50%;-50%;Medio;49;$57,31;328,78;;20;10;10;10;10;20;10;20;20;10;20;10;10
tramites sucesorios;20;0%;100%;Medio;59;$14,43;303,12;;10;10;10;10;10;10;10;10;20;20;20;20;20
tramite ante comision medica;20;0%;0%;Bajo;1;;;;20;10;10;20;20;20;20;10;20;20;20;20;20
trabajo juridico;20;50%;200%;Bajo;7;;;;10;10;10;10;20;20;40;20;10;10;20;20;30
trabajo estudio juridico cordoba;20;0%;0%;Bajo;16;;;;10;10;20;20;20;20;140;40;20;30;10;30;10
trabajo abogado cordoba;20;0%;50%;Bajo;15;;;;20;20;30;70;20;10;20;10;20;30;30;30;30
trabajo abogado argentina;20;-75%;-50%;Bajo;16;;;;20;20;40;20;20;40;20;30;30;30;40;10;10
tope minimo indemnizacion art;20;0%;-50%;Medio;34;$40,86;210,58;;20;20;10;20;10;20;20;10;10;10;10;10;10
te pueden echar estando con art;20;100%;100%;Medio;60;$86,25;386,72;;10;40;20;10;30;20;30;20;40;20;10;10;20
tabla de indemnización;20;50%;0%;Bajo;25;$36,86;88,59;;30;10;10;20;10;20;10;10;20;10;20;30;30
tabla de accidentes de trabajo;20;0%;-67%;Bajo;24;;;;30;10;10;10;10;20;20;30;10;20;10;10;10
sucesiones honorarios de abogados;20;0%;-67%;Medio;66;$87,06;269,93;;30;10;10;20;10;30;30;30;30;20;10;10;10
sucesion y declaratoria de herederos es lo mismo;20;200%;200%;Bajo;24;$42,05;244,89;;10;10;10;20;20;20;10;20;10;20;10;20;30
sucesión por fallecimiento;20;0%;-33%;Medio;50;$61,49;300,54;;30;20;30;30;20;30;30;10;20;30;20;40;20
srt enfermedad profesional;20;-67%;-67%;Bajo;33;$48,06;77,64;;30;10;10;10;20;20;30;20;10;20;30;20;10
srt dictamen medico;20;0%;-33%;Bajo;1;;;;30;10;20;20;20;10;10;10;10;10;20;30;20
srt determinacion de incapacidad;20;0%;0%;Bajo;21;$40,91;285,56;;20;10;10;10;20;20;20;20;10;10;20;10;20
simulador de incapacidad art;20;-50%;0%;Medio;64;$54,47;118,84;;10;10;10;10;10;20;30;30;30;30;20;10;10
si tuve un accidente laboral me corresponde indemnizacion;20;0%;0%;Alto;74;$63,23;270,18;;10;20;40;20;20;10;20;10;20;10;10;10;10
servicios de abogados;20;-67%;0%;Medio;60;$182,65;482,15;;10;20;10;10;20;30;20;30;20;20;30;20;10
sergio abogado;20;0%;100%;Bajo;16;;;;10;30;10;10;20;10;20;20;20;20;20;10;20
seguros y riesgos calculo indemnizacion;20;0%;-60%;Bajo;24;$70,13;227,34;;50;20;20;20;50;30;40;20;10;10;20;40;20
seguros y riesgos art;20;0%;0%;Medio;50;$189,97;508,86;;20;20;20;20;10;10;10;30;20;10;20;10;20
seguro por accidente;20;100%;0%;Alto;76;$172,25;1014,65;;20;10;10;10;30;10;10;10;20;10;10;20;20
seguro de trabajo que cubre;20;0%;-50%;Alto;88;$103,35;388,62;;20;10;10;20;10;10;10;10;20;10;10;10;10
salario de un abogado;20;0%;-50%;Bajo;0;;;;20;20;20;10;20;20;20;20;10;20;10;20;10
salario abogado argentina;20;0%;100%;Bajo;0;;;;10;20;40;20;20;20;20;20;10;10;20;10;20
reclamo por accidente de transito;20;0%;-67%;Medio;57;$230,12;706,02;;30;30;20;20;20;30;20;30;10;10;10;10;10
reclamo art por accidente trabajo;20;0%;-50%;Alto;75;$66,49;326,26;;20;10;10;20;20;20;30;10;10;10;10;10;10
rechazo enfermedad profesional;20;-67%;0%;Bajo;33;$50,66;66,49;;10;10;10;10;10;10;20;10;10;10;30;20;10
rechazo de enfermedad profesional;20;0%;-33%;Bajo;27;$54,72;74,68;;30;30;20;30;30;30;20;20;20;30;20;20;20
puntos por incapacidad art;20;-50%;-67%;Medio;64;$40,91;69,94;;30;20;20;20;20;20;20;10;10;20;20;20;10
puntos de incapacidad por accidente de transito;20;0%;-33%;Medio;36;$76,45;143,67;;30;20;10;20;30;30;20;20;20;10;20;30;20
procedimiento comisiones medicas;20;0%;-50%;Bajo;0;;;;20;10;20;20;20;20;10;30;20;10;10;10;10
procedimiento art ante accidente trabajo;20;0%;0%;Medio;50;$58,56;204,21;;10;10;20;10;10;10;10;10;10;10;10;10;10
procedimiento accidente de trabajo;20;0%;-33%;Medio;40;$61,45;334,43;;30;20;20;20;30;20;40;30;20;20;20;20;20
prestaciones art;20;-33%;-50%;Bajo;28;$52,01;162,62;;40;20;20;20;10;30;20;20;20;20;30;20;20
precios de los dedos de la mano;20;0%;-75%;Bajo;2;;;;40;30;10;10;10;10;10;10;10;10;10;10;10
preaviso empleador;20;0%;0%;Bajo;1;;;;20;20;20;20;30;20;20;20;20;20;20;20;20
porque se produce el abombamiento discal;20;-50%;-67%;Bajo;10;;;;30;30;30;20;20;20;20;20;30;30;20;10;10
porque salen las hernias de disco;20;100%;0%;Bajo;16;$2,38;30,63;;20;40;20;20;10;30;20;30;20;20;10;20;20
porcentaje incapacidad art;20;-50%;-80%;Medio;55;$40,99;122,98;;50;30;30;40;30;10;10;20;10;10;20;20;10
poder para un abogado;20;100%;-33%;Bajo;8;;;;30;20;10;30;10;20;10;20;20;10;10;10;20
poder abogado;20;-50%;-67%;Bajo;2;;;;30;20;10;10;20;30;20;20;20;20;20;30;10
plazo para apelar dictamen comision medica;20;0%;-33%;Bajo;0;;;;30;20;20;20;10;10;20;10;30;20;20;10;20
pago por despido injustificado;20;0%;0%;Alto;70;$31,36;204,46;;10;20;10;20;30;10;20;20;10;10;10;10;10
pagar indemnizacion por despido;20;0%;-50%;Medio;38;$4,85;166,95;;20;20;20;20;30;20;30;10;10;10;10;10;10
oficina estudio juridico;20;-67%;-67%;Medio;43;$70,12;605,72;;30;20;20;20;30;30;20;20;20;40;30;10;10
motivos de despido laboral;20;0%;0%;Medio;45;$75,86;175,22;;10;20;30;10;20;20;10;10;10;20;10;10;10
modelo demanda por accidente de trabajo;20;-50%;-67%;Bajo;26;;;;30;10;10;20;10;30;20;20;20;20;20;30;10
minimo indemnizacion art;20;100%;100%;Medio;33;$40,74;248,98;;10;10;10;20;20;30;20;10;10;10;10;20;20
minimo abombamiento discal;20;0%;-33%;Bajo;6;;;;30;20;20;30;30;30;30;10;30;10;20;30;20
medicos y abogados;20;-33%;0%;Bajo;11;;;;20;10;20;10;10;20;40;30;30;20;30;10;20
lucas abogado;20;-33%;100%;Bajo;17;$185,14;319,53;;10;10;10;10;20;10;10;20;10;30;30;20;20
licencia por accidente laboral;20;0%;-75%;Bajo;31;$51,14;160,66;;40;10;10;20;20;20;20;20;10;20;10;10;10
ley despido laboral;20;-50%;-33%;Medio;43;$3,57;152,65;;30;30;20;30;20;40;30;30;20;20;40;20;20
ley de comisiones medicas;20;100%;-33%;Bajo;0;;;;30;30;10;10;10;10;30;10;20;10;10;20;20
ley abogacia;20;100%;0%;Bajo;9;$61,63;13723,16;;20;30;20;20;20;30;20;10;30;10;10;10;20
lesion de tibia y perone;20;0%;100%;Bajo;1;;;;10;20;10;10;20;10;20;30;10;20;20;20;20
la art puede rechazar un accidente;20;100%;0%;Medio;44;$65,89;224,64;;20;10;10;20;10;20;20;30;30;10;10;20;20
la art paga el sueldo completo;20;200%;200%;Medio;36;$61,10;245,57;;10;20;10;10;10;10;20;10;20;10;10;40;30
la art cubre accidentes fuera del trabajo;20;0%;-50%;Bajo;32;$71,18;260,49;;20;20;20;20;20;20;20;10;20;10;10;20;10
juicio por accidente laboral;20;100%;0%;Medio;58;$58,56;314,53;;20;20;20;30;20;30;30;20;10;30;10;20;20
jubilación de abogados;20;0%;-50%;Bajo;23;$118,87;261,79;;20;30;30;30;30;20;10;10;10;20;10;10;10
iniciar sucesion en provincia de buenos aires;20;50%;200%;Medio;54;$96,78;447,72;;10;20;10;20;20;20;10;20;30;30;20;10;30
indemnizacion por enfermedad;20;-33%;0%;Medio;43;$55,83;144,06;;20;20;10;20;20;10;20;20;20;10;30;10;20
indemnización por despido que es;20;0%;200%;Bajo;18;$57,14;271,27;;10;20;10;10;10;30;40;30;20;30;30;20;30
indemnizacion por accidente de transito en argentina;20;-50%;-50%;Medio;64;$194,00;472,78;;20;10;10;10;10;20;10;20;20;30;20;20;10
indemnización doble por despido;20;0%;0%;Medio;49;$62,71;194;;10;10;10;10;10;10;20;20;10;10;10;10;10
incapacidad por accidente de tránsito;20;-50%;0%;Bajo;30;$49,17;111,93;;10;20;10;10;30;10;30;20;10;10;20;10;10
incapacidad art calculadora;20;-50%;-50%;Medio;48;$46,66;205,27;;20;20;20;40;10;20;20;20;30;30;20;20;10
ia abogados;20;0%;200%;Alto;71;$133,23;490,11;;10;10;10;10;20;20;30;20;20;30;30;40;30
honorarios por declaratoria de herederos;20;-50%;-50%;Bajo;31;;;;20;10;10;10;20;20;30;20;10;30;20;20;10
honorarios de sucesion;20;-50%;-50%;Medio;47;$67,34;161,35;;20;10;10;20;10;20;20;20;20;20;20;10;10
hernia discal tiene cura;20;0%;0%;Bajo;28;$9,80;51,5;;20;20;40;20;10;20;30;20;20;20;20;20;20
hernia de disco que es y como se produce;20;100%;0%;Bajo;24;$4,08;45,62;;20;10;10;10;10;10;20;10;10;10;10;10;20
hernia de disco lumbar l5 s1;20;-67%;0%;Bajo;25;$18,22;55,73;;10;20;20;20;20;40;20;30;20;20;30;20;10
hernia de disco en la cadera;20;-50%;0%;Bajo;23;;;;20;20;20;30;10;20;10;30;20;20;40;30;20
hernia cervical discal;20;0%;-33%;Bajo;5;;;;30;20;20;20;20;10;10;20;20;20;20;20;20
gastos sucesion;20;-50%;0%;Medio;64;$58,41;253,35;;10;20;10;20;20;30;40;20;20;30;20;30;10
fx de perone;20;-50%;-67%;Bajo;3;;;;30;10;20;20;10;20;20;20;10;20;20;10;10
formula para calcular indemnizacion art;20;150%;150%;Medio;51;$40,71;260,22;;20;10;30;10;10;20;20;30;10;20;20;30;50
formula calculo indemnizacion accidente laboral;20;0%;0%;Medio;52;$55,89;197,21;;20;10;10;10;20;20;20;30;20;20;20;20;20
formula calculo incapacidad art;20;200%;200%;Medio;39;$40,94;77,27;;10;20;10;20;30;30;20;10;10;10;10;20;30
formula art indemnizacion;20;0%;50%;Medio;41;$37,84;113,89;;20;10;10;30;20;20;20;20;20;30;30;20;30
formula accidente de trabajo;20;0%;50%;Medio;44;$40,92;104,91;;20;20;10;20;40;30;30;10;20;20;30;30;30
