Keyword MarinPistacchia;;;;;;;
1 de julio de 2023 - 30 de junio de 2024;;;;;;;
;;;;;;;
Keyword;Avg. monthly searches;Cambio en los últimos tres meses;Cambio interanual;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range)
ejemplo de indemnización por incapacidad permanente parcial;50;0%;∞;Alto;71;;
ejercicio hernia lumbar;50;0%;0%;Bajo;12;12.99;25.60
ejercicio para hernia discal lumbar;50;0%;0%;Bajo;8;9.35;22.84
ejercicio para personas con hernia discal;50;0%;0%;Bajo;6;;
ejercicios cuando tienes hernia discal;50;0%;0%;Bajo;19;;
ejercicios de fuerza para hernia discal;50;0%;0%;Bajo;0;;
ejercicios fortalecer lumbares hernia discal;50;0%;0%;Desconocido;;;
ejercicios hernia;50;0%;∞;Bajo;0;;
ejercicios hernia discal l4 l5;50;0%;0%;Bajo;10;;
ejercicios hernia discal l5 s1;50;0%;0%;Bajo;6;;
ejercicios hernia discal lumbar;50;0%;0%;Bajo;10;;
ejercicios hernia l4 l5;50;0%;∞;Bajo;7;;
ejercicios hernia l5 s1;50;0%;0%;Bajo;7;;
ejercicios l5 s1;50;0%;0%;Bajo;10;;
ejercicios lumbares hernia discal;50;0%;0%;Bajo;10;;
ejercicios para columna con hernia discal;50;0%;0%;Bajo;20;;
ejercicios para columna lumbar hernia;50;0%;0%;Bajo;1;;
ejercicios para discos herniados;50;0%;0%;Desconocido;;;
ejercicios para dolor lumbar por hernia discal;50;0%;0%;Bajo;14;;
ejercicios para el dolor de hernia discal;50;0%;0%;Bajo;29;;
ejercicios para espalda con hernia discal;50;0%;-100%;Desconocido;;;
ejercicios para hernia;50;0%;0%;Bajo;4;;
ejercicios para hernia de disco l5 s1;50;0%;0%;Bajo;7;;
ejercicios para hernia discal l2 l3;50;0%;-100%;Desconocido;;;
ejercicios para hernia discal l3 l4;50;0%;0%;Bajo;29;;
ejercicios para hernia discal l5 s1 derecha;50;0%;0%;Desconocido;;;
ejercicios para hernia l5 s1;50;0%;0%;Bajo;14;;
ejercicios para hernia lumbar l5 s1;50;0%;0%;Bajo;0;;
ejercicios para hernias;50;0%;0%;Bajo;4;;
ejercicios para l4 y l5;50;0%;0%;Bajo;24;;
ejercicios para l5 s1;50;0%;0%;Bajo;0;;
ejercicios para la columna lumbar con hernia discal;50;0%;0%;Medio;36;;
ejercicios para las hernias lumbares;50;0%;0%;Bajo;19;;
ejercicios para personas con hernia de disco;50;0%;0%;Bajo;8;12.30;18.70
ejercicios para personas con hernia discal lumbar;50;0%;0%;Desconocido;;;
ejercicios para personas con hernia lumbar;50;0%;0%;Bajo;22;;
ejercicios para una persona con hernia discal;50;0%;0%;Bajo;0;;
ejercicios protusion discal l5 s1;50;0%;0%;Bajo;4;;
ejercicios protusión lumbar;50;0%;0%;Bajo;6;;
ejercicios que no se deben hacer con hernia discal;50;0%;0%;Bajo;0;;
ejercicios recomendados para hernia de disco lumbar;50;0%;0%;Bajo;18;;
el accidente de trabajo;50;0%;0%;Bajo;11;;
empleador sin art;50;0%;0%;Bajo;17;;
en caso de accidente de trabajo;50;0%;∞;Bajo;0;;
en caso de accidente laboral que se debe hacer;50;0%;0%;Bajo;0;;
en cuanto tiempo se cura una hernia de disco;50;0%;0%;Bajo;14;;
en cuanto tiempo se cura una hernia discal;50;0%;0%;Bajo;5;;
en disconformidad art;50;0%;0%;Bajo;23;38.90;215.37
en que consiste la operacion de hernia discal;50;0%;0%;Bajo;20;;
en un accidente laboral quien paga la indemnizacion;50;0%;0%;Desconocido;;;
enfermedad accidente;50;0%;0%;Bajo;8;48.06;66.61
enfermedad del disco intervertebral;50;0%;0%;Bajo;0;;
enfermedad discal;50;0%;0%;Bajo;10;;
enfermedad laboral argentina;50;0%;0%;Medio;36;57.95;494.95
enfermedad laboral art;50;0%;0%;Medio;39;46.07;280.43
enfermedad laboral indemnizacion;50;0%;0%;Medio;33;;
enfermedad profesional indemnización;50;0%;0%;Medio;43;57.81;166.85
enfermedad profesional lumbalgia;50;0%;0%;Bajo;20;19.17;140.21
enfermedad profesional srt;50;0%;0%;Bajo;18;25.73;67.62
enfermedades que cubre art provincia;50;0%;0%;Medio;64;;
enfermedades que cubre la art;50;0%;0%;Medio;38;37.22;263.03
entumecimiento por hernia discal;50;0%;0%;Bajo;29;;
es necesario operar una hernia discal;50;0%;∞;Medio;43;;
es recomendable operar una hernia discal;50;0%;0%;Bajo;19;;
es una hernia discal;50;0%;0%;Desconocido;;;
escoliosis hernia discal;50;0%;0%;Bajo;14;10.00;41.62
esguince de tobillo con fractura de perone;50;0%;0%;Bajo;4;;
espacio discal;50;0%;0%;Bajo;0;;
espalda discos;50;0%;0%;Bajo;0;;
especialista en hernia de disco;50;0%;0%;Medio;40;26.89;85.24
estiramiento hernia discal;50;0%;0%;Bajo;16;;
estiramiento hernia discal lumbar;50;0%;0%;Bajo;10;;
estudio para hernia discal;50;0%;0%;Bajo;21;;
extruida hernia;50;0%;0%;Bajo;7;;
factores de riesgo de hernia discal;50;0%;0%;Bajo;0;;
falange dedo anular;50;0%;0%;Bajo;0;;
falange dedo pulgar;50;0%;0%;Bajo;0;;
falange distal dedo indice;50;0%;0%;Bajo;0;;
falange distal dedo mano;50;0%;-100%;Desconocido;;;
fisioterapia para fractura de tibia y perone;50;0%;0%;Bajo;26;;
fisura cabeza perone;50;0%;0%;Bajo;3;;
fisura de disco lumbar;50;0%;0%;Bajo;13;;
fisura de perone en el tobillo;50;0%;0%;Bajo;6;;
fisura de perone sin desplazamiento;50;0%;0%;Bajo;2;;
fisura de perone sintomas;50;0%;0%;Bajo;0;;
fisura de peroné;50;0%;0%;Bajo;1;;
fisura de tibia y perone;50;0%;0%;Bajo;1;;
fisura en disco lumbar;50;0%;0%;Bajo;11;;
fisura en el disco de la columna;50;0%;0%;Bajo;13;;
fisura en el perone;50;0%;0%;Bajo;0;;
fisura en el perone tratamiento;50;0%;0%;Bajo;4;;
fisura en perone;50;0%;0%;Bajo;0;;
fisura en tibia y perone;50;0%;0%;Bajo;4;;
fisura perone tobillo;50;0%;0%;Bajo;0;;
fisura peroné;50;0%;0%;Bajo;0;;
fisura peroné tobillo;50;0%;0%;Bajo;0;;
fisura tibia y perone;50;0%;0%;Bajo;8;;
formula accidente de trabajo;50;0%;0%;Bajo;29;41.76;144.85
formula art indemnizacion;50;0%;0%;Medio;38;40.34;364.87
formula calculo incapacidad art;50;0%;0%;Medio;43;36.27;310.81
formula calculo indemnizacion accidente laboral;50;0%;0%;Medio;35;66.43;205.57
formula incapacidad laboral;50;0%;0%;Bajo;20;31.11;67.57
formula indemnizacion art;50;0%;0%;Medio;38;38.15;147.82
formula para calcular incapacidad laboral;50;0%;0%;Bajo;18;34.63;67.38
formula para calcular indemnizacion art;50;0%;0%;Medio;38;38.26;215.00
formula para calcular indemnizacion por accidente trabajo;50;0%;-100%;Desconocido;;;
fractura cabeza de perone;50;0%;0%;Bajo;1;;
fractura cabeza peroné tiempo recuperación;50;0%;0%;Desconocido;;;
fractura cerrada de tibia y perone;50;0%;0%;Bajo;0;;
fractura de canilla;50;0%;0%;Bajo;0;;
fractura de fibula;50;0%;0%;Bajo;0;;
fractura de la epifisis superior de la tibia;50;0%;0%;Bajo;2;;
fractura de perone con placa y tornillos;50;0%;0%;Bajo;6;;
fractura de perone desplazada;50;0%;0%;Bajo;3;;
fractura de perone en el tobillo;50;0%;0%;Bajo;5;;
fractura de perone expuesta;50;0%;0%;Bajo;0;;
fractura de perone por esguince tobillo;50;0%;0%;Bajo;2;;
fractura de perone rehabilitacion;50;0%;0%;Bajo;10;22.83;102.75
fractura de perone sintomas;50;0%;0%;Bajo;2;;
fractura de perone y ligamentos tobillo;50;0%;0%;Bajo;9;;
fractura de perone y tobillo;50;0%;0%;Bajo;6;41.28;102.59
fractura de peroné con desplazamiento;50;0%;0%;Bajo;6;41.40;41.60
fractura de peroné derecho;50;0%;0%;Bajo;0;;
fractura de peroné sin desplazamiento tiempo de recuperación;50;0%;0%;Bajo;4;;
fractura de peroné tiempo para caminar;50;0%;0%;Bajo;0;;
fractura de tibia con desplazamiento;50;0%;0%;Bajo;19;;
fractura de tibia distal;50;0%;0%;Bajo;5;41.28;103.50
fractura de tibia distal tratamiento;50;0%;0%;Bajo;5;;
fractura de tibia expuesta;50;0%;0%;Bajo;7;;
fractura de tibia no desplazada;50;0%;0%;Bajo;0;;
fractura de tibia operacion;50;0%;0%;Bajo;0;;
fractura de tibia que es;50;0%;0%;Bajo;14;;
fractura de tibia rehabilitación;50;0%;0%;Bajo;8;;
fractura de tibia sintomas;50;0%;0%;Bajo;2;;
fractura de tibia tiempo de recuperación;50;0%;0%;Bajo;5;2.85;41.75
fractura de tibia tratamiento;50;0%;0%;Bajo;6;;
fractura de tibia y fibula;50;0%;0%;Desconocido;;;
fractura de tibia y perone a la altura del tobillo;50;0%;0%;Bajo;5;;
fractura de tibia y perone con desplazamiento;50;0%;0%;Bajo;4;;
fractura de tibia y perone expuesta tiempo de recuperacion;50;0%;0%;Bajo;2;;
fractura de tibia y perone fisioterapia;50;0%;0%;Bajo;29;;
fractura de tibia y perone que es;50;0%;-100%;Desconocido;;;
fractura de tibia y perone recuperacion;50;0%;0%;Bajo;5;1.97;41.45
fractura de tibia y perone recuperacion tiempo;50;0%;0%;Bajo;0;;
fractura de tibia y perone tobillo;50;0%;0%;Bajo;0;;
fractura de tibia y peroné cuanto tiempo de recuperación;50;0%;0%;Bajo;6;;
fractura de tibia y peroné recuperación;50;0%;0%;Bajo;5;1.97;41.45
fractura de tibia y peroné rehabilitación;50;0%;0%;Bajo;14;;
fractura de tibia y peroné tiempo de recuperación;50;0%;0%;Bajo;5;;
fractura de tibia y peroné tiempo para caminar;50;0%;∞;Bajo;5;;
fractura de tibia y peroné tratamiento;50;0%;0%;Bajo;8;;
fractura de tobillo perone;50;0%;0%;Bajo;10;11.24;41.75
fractura de tobillo y perone;50;0%;0%;Bajo;12;28.04;51.83
fractura del perone distal;50;0%;0%;Bajo;0;;
fractura del perone en el tobillo;50;0%;0%;Bajo;8;;
fractura del perone solamente;50;0%;-100%;Desconocido;;;
fractura diafisiaria de perone;50;0%;0%;Bajo;0;;
fractura distal de perone;50;0%;0%;Bajo;6;41.14;103.20
fractura distal del perone;50;0%;0%;Bajo;2;;
fractura distal perone;50;0%;0%;Bajo;0;;
fractura en la tibia de la rodilla;50;0%;0%;Bajo;5;;
fractura en la tibia y perone;50;0%;0%;Bajo;4;;
fractura epifisis superior de la tibia;50;0%;0%;Bajo;0;;
fractura expuesta de perone;50;0%;0%;Bajo;2;;
fractura expuesta de tibia y perone tiempo de recuperacion;50;0%;0%;Bajo;7;;
fractura fibula;50;0%;0%;Bajo;0;;
fractura multiple de tibia y perone;50;0%;0%;Bajo;0;;
fractura no desplazada de perone;50;0%;0%;Bajo;5;;
fractura perone con desplazamiento;50;0%;0%;Bajo;10;;
fractura perone sin desplazamiento;50;0%;0%;Bajo;13;;
fractura perone tobillo;50;0%;0%;Bajo;6;12.39;41.68
fractura perone tratamiento;50;0%;0%;Bajo;0;;
fractura peroné distal;50;0%;0%;Bajo;12;;
fractura tibia expuesta;50;0%;0%;Bajo;3;;
fractura tibia recuperacion;50;0%;0%;Bajo;7;;
fractura tibia tratamiento;50;0%;0%;Bajo;0;;
fractura tibia y perone cirugia;50;0%;0%;Bajo;9;;
fractura tibia y perone operacion;50;0%;0%;Bajo;21;;
fractura tibia y perone tobillo;50;0%;0%;Bajo;11;;
fractura tibia y perone tratamiento;50;0%;0%;Bajo;0;;
fractura tibial distal;50;0%;0%;Bajo;2;;
fractura tobillo perone;50;0%;0%;Bajo;10;8.11;52.19
fractura transindesmal de peroné tiempo de recuperación;50;0%;0%;Bajo;14;;
fx de perone;50;0%;0%;Bajo;2;;
fx de tibia;50;0%;0%;Bajo;0;;
fx de tibia y perone;50;0%;0%;Bajo;2;;
fx perone;50;0%;0%;Bajo;4;;
fx tibia;50;0%;0%;Bajo;0;;
fx tibia y perone;50;0%;0%;Bajo;0;;
grados de hernia discal;50;0%;0%;Bajo;15;18.70;41.46
grados de hernias discales;50;0%;0%;Bajo;5;;
grados de incapacidad laboral argentina;50;0%;0%;Bajo;27;24.87;67.27
grados de incapacidad por accidente laboral;50;0%;-90%;Bajo;4;33.37;239.91
grados minusvalía por hernia discal;50;0%;0%;Desconocido;;;
hay cura para la hernia discal;50;0%;0%;Bajo;14;;
hernia 4 y 5 vertebra;50;0%;0%;Bajo;13;;
hernia ala columna;50;0%;0%;Bajo;0;;
hernia brazo;50;0%;0%;Bajo;4;;
hernia c5;50;0%;0%;Bajo;10;;
hernia c5 y c6;50;0%;0%;Bajo;7;;
hernia c6;50;0%;0%;Bajo;29;;
hernia cadera;50;0%;0%;Bajo;3;;
hernia cadera derecha;50;0%;0%;Bajo;0;;
hernia cadera izquierda;50;0%;0%;Bajo;0;;
hernia central;50;0%;0%;Bajo;2;;
hernia cervical c3 c4 sintomas;50;0%;0%;Bajo;21;;
hernia cervical c4 c5 sintomas;50;0%;0%;Desconocido;;;
hernia cervical c5 c6;50;0%;0%;Bajo;13;16.03;63.05
hernia cervical causas;50;0%;0%;Bajo;15;10.16;41.68
hernia cervical como se cura;50;0%;0%;Bajo;29;;
hernia cervical cuello;50;0%;0%;Bajo;11;;
hernia cervical discal;50;0%;∞;Bajo;6;;
hernia cervical dolor brazo;50;0%;0%;Medio;43;;
hernia cervical en el cuello;50;0%;0%;Bajo;11;;
hernia cervical porque se produce;50;0%;0%;Bajo;29;;
hernia cervical que es;50;0%;0%;Bajo;20;10.02;31.59
hernia cervical resonancia;50;0%;0%;Bajo;3;;
hernia cervical se cura;50;0%;0%;Bajo;21;;
hernia cervical sintomas y tratamiento;50;0%;0%;Bajo;23;9.81;22.33
hernia ciatica;50;0%;0%;Bajo;9;11.38;41.44
hernia ciatica sintomas;50;0%;0%;Bajo;11;;
hernia circunferencial;50;0%;-100%;Desconocido;;;
hernia columna cervical;50;0%;0%;Bajo;18;;
hernia columna dorsal;50;0%;0%;Bajo;16;;
hernia cronica;50;0%;0%;Bajo;0;;
hernia cuello sintomas;50;0%;0%;Bajo;5;;
hernia cuello tratamiento;50;0%;0%;Desconocido;;;
hernia de cadera;50;0%;0%;Bajo;2;;
hernia de cadera sintomas;50;0%;-100%;Desconocido;;;
hernia de cervical;50;0%;0%;Bajo;12;10.08;41.13
hernia de cervical tratamiento;50;0%;0%;Medio;46;16.32;42.39
hernia de cintura;50;0%;0%;Bajo;8;;
hernia de columna cervical;50;0%;0%;Bajo;31;11.29;18.70
hernia de columna lumbar;50;0%;0%;Bajo;19;10.04;48.47
hernia de columna tratamiento;50;0%;0%;Medio;63;10.89;46.21
hernia de columna vertebral;50;0%;0%;Bajo;16;13.24;41.40
hernia de cuello;50;0%;0%;Bajo;11;12.12;83.35
hernia de disco 3 y 4 vertebra;50;0%;0%;Bajo;6;;
hernia de disco 4 y 5 lumbar;50;0%;0%;Bajo;14;18.70;54.06
hernia de disco 4 y 5 vertebra;50;0%;0%;Bajo;23;12.19;41.58
hernia de disco 5 y 6 vertebra;50;0%;0%;Bajo;20;12.90;41.14
hernia de disco art;50;0%;0%;Bajo;26;13.22;88.23
hernia de disco c5 c6;50;0%;0%;Medio;34;26.44;41.75
hernia de disco cadera;50;0%;0%;Bajo;10;10.04;33.01
hernia de disco cervical operacion;50;0%;0%;Bajo;23;13.57;280.43
hernia de disco ciatica;50;0%;0%;Bajo;16;18.70;54.67
hernia de disco ciatico;50;0%;0%;Bajo;16;18.70;54.67
hernia de disco cintura;50;0%;0%;Bajo;13;18.70;41.46
hernia de disco columna dorsal sintomas;50;0%;0%;Bajo;13;;
hernia de disco como saber si tengo;50;0%;0%;Bajo;12;;
hernia de disco coxis;50;0%;0%;Bajo;13;;
hernia de disco cuanto dura;50;0%;0%;Bajo;8;;
hernia de disco cubre la art;50;0%;0%;Bajo;30;36.12;158.91
hernia de disco cuello;50;0%;0%;Bajo;14;18.28;41.68
hernia de disco cura;50;0%;0%;Bajo;22;12.90;41.58
hernia de disco dolor de pierna;50;0%;0%;Bajo;14;;
hernia de disco donde duele;50;0%;0%;Bajo;7;6.01;41.45
hernia de disco dorsal síntomas;50;0%;0%;Bajo;22;10.05;25.50
hernia de disco en la 5 vertebra lumbar;50;0%;0%;Bajo;9;12.15;41.28
hernia de disco en la cadera;50;0%;0%;Bajo;10;10.04;33.01
hernia de disco en la cintura;50;0%;0%;Bajo;18;;
hernia de disco en la espalda;50;0%;0%;Bajo;7;10.04;41.61
hernia de disco enfermedad profesional;50;0%;0%;Bajo;22;33.67;90.83
hernia de disco es grave;50;0%;0%;Bajo;12;18.70;41.45
hernia de disco es peligrosa;50;0%;0%;Bajo;10;;
hernia de disco es una discapacidad;50;0%;0%;Bajo;8;41.02;41.68
hernia de disco espalda alta;50;0%;0%;Bajo;4;;
hernia de disco espalda baja;50;0%;0%;Bajo;21;41.47;192.54
hernia de disco extruida;50;0%;0%;Bajo;19;18.70;75.20
hernia de disco foraminal;50;0%;0%;Bajo;13;18.70;41.40
hernia de disco incapacidad laboral;50;0%;0%;Bajo;26;;
hernia de disco l1;50;0%;0%;Bajo;0;;
hernia de disco l1 s5;50;0%;0%;Bajo;19;;
hernia de disco l3;50;0%;0%;Bajo;3;;
hernia de disco l3 l4;50;0%;0%;Bajo;21;18.70;41.40
hernia de disco l4;50;0%;0%;Bajo;5;;
hernia de disco l4 l5 s1;50;0%;0%;Bajo;9;;
hernia de disco l5;50;0%;0%;Bajo;11;22.77;41.68
hernia de disco l5 s1 ejercicios;50;0%;0%;Bajo;14;;
hernia de disco l5 s1 sintomas;50;0%;0%;Bajo;15;11.36;41.28
hernia de disco leve;50;0%;0%;Bajo;23;12.74;41.12
hernia de disco lumbar ejercicios;50;0%;0%;Bajo;15;7.52;26.52
hernia de disco lumbar l4 l5;50;0%;0%;Bajo;14;;
hernia de disco lumbar l5 s1;50;0%;0%;Bajo;17;13.20;67.29
hernia de disco lumbar que es;50;0%;0%;Bajo;19;3.44;41.12
hernia de disco lumbar sintomas y tratamiento;50;0%;0%;Bajo;26;9.35;35.89
hernia de disco lumbar tratamiento sin cirugia;50;0%;0%;Medio;41;18.37;79.95
hernia de disco lumbosacra;50;0%;0%;Bajo;16;14.45;53.89
hernia de disco nervio ciatico;50;0%;0%;Bajo;14;18.28;56.09
hernia de disco por que se produce;50;0%;0%;Bajo;15;11.92;46.74
hernia de disco que es y como se produce;50;0%;0%;Bajo;32;8.18;27.57
hernia de disco s1 l5;50;0%;0%;Bajo;0;;
hernia de disco sacro;50;0%;0%;Bajo;12;;
hernia de disco sacro lumbar tratamiento;50;0%;0%;Bajo;10;;
hernia de disco se cura sola;50;0%;0%;Bajo;6;;
hernia de disco sin cirugia;50;0%;0%;Bajo;25;;
hernia de disco solucion;50;0%;0%;Bajo;27;14.29;70.73
hernia de disco tratamiento sin cirugía en argentina;50;0%;0%;Medio;55;31.07;121.90
hernia de disco vertebral;50;0%;0%;Bajo;18;13.89;50.42
hernia de disco vertebral 4 y 5;50;0%;0%;Bajo;23;12.19;41.58
hernia de espalda;50;0%;0%;Bajo;8;18.70;41.71
hernia de espalda baja;50;0%;0%;Bajo;0;;
hernia de la columna vertebral;50;0%;0%;Bajo;12;;
hernia de la espalda;50;0%;∞;Bajo;14;;
hernia de lumbar;50;0%;0%;Bajo;18;5.68;41.71
hernia de sacro;50;0%;0%;Bajo;18;;
hernia discal 4 y 5;50;0%;0%;Bajo;23;;
hernia discal 5 y 6 vertebra;50;0%;0%;Bajo;0;;
hernia discal 6 y 7;50;0%;0%;Bajo;14;;
hernia discal adormecimiento piernas;50;0%;0%;Bajo;0;;
hernia discal anterior;50;0%;0%;Bajo;10;;
hernia discal baja laboral;50;0%;0%;Desconocido;;;
hernia discal bilateral;50;0%;0%;Bajo;16;;
hernia discal c3 c4;50;0%;0%;Bajo;19;;
hernia discal c4 c5;50;0%;0%;Bajo;6;;
hernia discal c5 c6;50;0%;0%;Bajo;15;10.55;41.02
hernia discal c5 c6 enfermedad profesional;50;0%;0%;Medio;40;16.66;134.71
hernia discal c6;50;0%;0%;Bajo;0;;
hernia discal c6 c7;50;0%;0%;Bajo;5;;
hernia discal central;50;0%;0%;Bajo;4;;
hernia discal central l5 s1;50;0%;0%;Bajo;10;;
hernia discal cervical c6 c7;50;0%;0%;Bajo;0;;
hernia discal cervical causas;50;0%;0%;Bajo;26;;
hernia discal cervical cirugia;50;0%;0%;Bajo;26;106.89;713.22
hernia discal cervical que es;50;0%;0%;Bajo;7;;
hernia discal cervical síntomas graves;50;0%;0%;Bajo;21;10.00;30.42
hernia discal cirugia riesgos;50;0%;0%;Bajo;17;;
hernia discal cirugía espinal;50;0%;0%;Bajo;33;28.97;280.43
hernia discal columna;50;0%;0%;Bajo;8;;
hernia discal como saber si tengo;50;0%;∞;Bajo;20;;
hernia discal como se cura;50;0%;0%;Bajo;21;12.37;49.47
hernia discal como se produce;50;0%;0%;Bajo;5;;
hernia discal complicaciones;50;0%;∞;Bajo;29;;
hernia discal con protusion;50;0%;0%;Bajo;19;;
hernia discal contenida;50;0%;∞;Bajo;0;;
hernia discal cronica;50;0%;0%;Bajo;14;;
hernia discal cuello;50;0%;0%;Bajo;13;18.70;103.14
hernia discal cuello tratamiento;50;0%;-100%;Desconocido;;;
hernia discal cura;50;0%;0%;Bajo;19;9.96;41.40
hernia discal derecha;50;0%;0%;Bajo;14;;
hernia discal desaparece;50;0%;-100%;Desconocido;;;
hernia discal desaparece sola;50;0%;∞;Bajo;0;;
hernia discal discapacidad del 33;50;0%;0%;Desconocido;;;
hernia discal dolor cadera;50;0%;0%;Medio;43;;
hernia discal dolor ingle;50;0%;0%;Bajo;10;;
hernia discal dolor pierna;50;0%;0%;Bajo;21;;
hernia discal donde duele;50;0%;0%;Bajo;7;;
hernia discal donde se encuentra;50;0%;0%;Bajo;0;;
hernia discal dorsal;50;0%;0%;Bajo;12;10.04;41.02
hernia discal dorsal sintomas;50;0%;0%;Bajo;22;10.04;37.90
hernia discal dorsal tratamiento;50;0%;0%;Medio;45;10.94;46.74
hernia discal en l5;50;0%;0%;Bajo;10;;
hernia discal en la espalda;50;0%;0%;Bajo;10;;
hernia discal enfermedad laboral;50;0%;0%;Medio;57;;
hernia discal enfermedad profesional;50;0%;0%;Bajo;29;37.42;140.21
hernia discal entumecimiento piernas;50;0%;0%;Bajo;0;;
hernia discal es grave;50;0%;-90%;Bajo;14;;
hernia discal espalda baja;50;0%;0%;Bajo;14;;
hernia discal estiramiento;50;0%;0%;Bajo;16;15.13;113.09
hernia discal extruida tratamiento;50;0%;0%;Bajo;22;18.70;71.57
hernia discal foraminal izquierda;50;0%;0%;Bajo;0;;
hernia discal global;50;0%;0%;Bajo;21;;
hernia discal grados;50;0%;0%;Bajo;9;;
hernia discal grave;50;0%;0%;Bajo;0;;
hernia discal hormigueo manos;50;0%;-100%;Desconocido;;;
hernia discal hormigueo piernas;50;0%;0%;Bajo;14;;
hernia discal incapacidad;50;0%;0%;Medio;43;;
hernia discal intervertebral;50;0%;0%;Bajo;0;;
hernia discal izquierda;50;0%;0%;Bajo;17;;
hernia discal l1 l2;50;0%;0%;Bajo;17;;
hernia discal l1 s5;50;0%;0%;Desconocido;;;
hernia discal l2;50;0%;-100%;Desconocido;;;
hernia discal l2 l3;50;0%;0%;Bajo;16;;
hernia discal l3 l4;50;0%;0%;Bajo;29;16.79;56.88
hernia discal l3 l4 l5 s1 tratamiento;50;0%;∞;Bajo;14;;
hernia discal l3 l4 sintomas;50;0%;0%;Bajo;16;18.70;37.39
hernia discal l4;50;0%;0%;Bajo;0;;
hernia discal l4 l5 l5 s1;50;0%;0%;Bajo;26;;
hernia discal l4 l5 operacion;50;0%;0%;Bajo;32;31.05;261.73
hernia discal l4 l5 s1;50;0%;0%;Bajo;30;;
hernia discal l4 l5 s1 ejercicios;50;0%;0%;Desconocido;;;
hernia discal l4 s1;50;0%;0%;Bajo;29;;
hernia discal l5 l4;50;0%;0%;Desconocido;;;
hernia discal l5 s1 cirugia;50;0%;0%;Bajo;23;32.00;271.08
hernia discal lado izquierdo;50;0%;∞;Bajo;0;;
hernia discal leve;50;0%;0%;Bajo;10;;
hernia discal lumbar causas;50;0%;0%;Bajo;4;;
hernia discal lumbar como se cura;50;0%;∞;Bajo;0;;
hernia discal lumbar diagnostico;50;0%;0%;Bajo;19;;
hernia discal lumbar l4 l5;50;0%;0%;Bajo;0;;
hernia discal lumbar l5 s1;50;0%;0%;Bajo;29;;
hernia discal lumbar operación;50;0%;0%;Bajo;16;;
hernia discal lumbar resonancia;50;0%;0%;Bajo;0;;
hernia discal mas frecuente;50;0%;0%;Bajo;0;;
hernia discal operacion riesgos;50;0%;0%;Medio;38;;
hernia discal pension invalidez;50;0%;0%;Bajo;0;;
hernia discal pequeña;50;0%;0%;Bajo;0;;
hernia discal por accidente de trafico;50;0%;-100%;Desconocido;;;
hernia discal por caida;50;0%;∞;Bajo;14;;
hernia discal por que se produce;50;0%;0%;Bajo;29;;
hernia discal por traumatismo;50;0%;∞;Bajo;18;;
hernia discal porque se produce;50;0%;0%;Bajo;5;;
hernia discal posterior;50;0%;0%;Bajo;10;;
hernia discal posterior l4 l5;50;0%;0%;Bajo;10;;
hernia discal posterolateral derecha l5 s1;50;0%;∞;Medio;43;;
hernia discal posterolateral izquierda l5 s1;50;0%;0%;Bajo;0;;
hernia discal posteromedial tratamiento;50;0%;0%;Bajo;29;;
hernia discal precio operacion;50;0%;0%;Desconocido;;;
hernia discal prevencion;50;0%;0%;Bajo;4;;
hernia discal protusion;50;0%;0%;Bajo;7;;
hernia discal que ejercicios puedo hacer;50;0%;0%;Bajo;18;;
hernia discal que es y como se produce;50;0%;0%;Bajo;7;;
hernia discal que hacer;50;0%;0%;Bajo;32;22.05;57.59
hernia discal resonancia;50;0%;0%;Bajo;2;33.12;121.88
hernia discal s1;50;0%;0%;Bajo;7;;
hernia discal s1 l5;50;0%;∞;Bajo;5;;
hernia discal s5 l1;50;0%;0%;Bajo;0;;
hernia discal sacro;50;0%;∞;Bajo;7;;
hernia discal sacro sintomas;50;0%;0%;Bajo;19;;
hernia discal se cura;50;0%;0%;Bajo;24;1.85;52.74
hernia discal se cura sola;50;0%;0%;Bajo;14;;
hernia discal se opera;50;0%;0%;Bajo;15;;
hernia discal severa;50;0%;0%;Bajo;7;;
hernia discal sin cirugia;50;0%;0%;Bajo;25;;
hernia discal sintomas tratamiento;50;0%;-100%;Desconocido;;;
hernia discal tiene cura;50;0%;0%;Bajo;19;9.96;41.40
hernia discal torácica síntomas;50;0%;0%;Bajo;14;10.01;59.97
hernia discal traumática;50;0%;0%;Bajo;29;;
hernia discal vertebral;50;0%;0%;Bajo;24;;
hernia discal y dolor de cadera;50;0%;0%;Desconocido;;;
hernia discal y dolor de rodilla;50;0%;-100%;Desconocido;;;
hernia discal y escoliosis;50;0%;0%;Medio;52;;
hernia discal y nervio ciatico;50;0%;0%;Bajo;10;;
hernia discal y protusion;50;0%;0%;Bajo;10;;
hernia discal zona lumbar;50;0%;0%;Bajo;18;;
hernia disco cervical tratamiento;50;0%;0%;Bajo;31;10.06;57.36
hernia disco dorsal;50;0%;0%;Bajo;24;;
hernia disco intervertebral;50;0%;0%;Medio;43;;
hernia disco l4 l5;50;0%;0%;Bajo;12;;
hernia disco l5;50;0%;0%;Bajo;0;;
hernia disco l5 s1;50;0%;0%;Bajo;13;14.65;59.94
hernia disco lumbar tratamiento;50;0%;0%;Bajo;20;12.75;80.09
hernia disco tratamiento;50;0%;0%;Bajo;23;19.90;65.43
hernia dorsal sintomas;50;0%;0%;Bajo;10;10.14;37.39
