Keyword research CALCULADORA DESPIDO;;;;;;;;;;;;;;;;;;;;;;;;
1 de marzo de 2024 - 28 de febrero de 2025;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Keyword;Avg. monthly searches;Cambio en los œltimos tres meses;Cambio interanual;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Mar 2024;Searches: Apr 2024;Searches: May 2024;Searches: Jun 2024;Searches: Jul 2024;Searches: Aug 2024;Searches: Sep 2024;Searches: Oct 2024;Searches: Nov 2024;Searches: Dec 2024;Searches: Jan 2025;Searches: Feb 2025
es embargable la indemnizaci—n por despido;10;-100%;-100%;Desconocido;;;;;;;;;10;10;10;10;10;10;10;10;10;10;0;0
es lo mismo liquidacion que indemnizacion;10;0%;°;Alto;79;;;;;;;;10;0;10;10;10;10;10;10;10;10;10;10
excel calculo indemnizacion despido;10;-100%;0%;Desconocido;;;;;;;;;0;10;0;0;0;10;0;0;0;10;10;0
excel para calcular liquidacion final por despido;10;0%;0%;Medio;49;63.38;262.50;;;;;;20;10;10;10;10;10;10;10;10;10;10;10
faltas injustificadas trabajo;10;0%;0%;Desconocido;;;;;;;;;0;0;0;10;10;10;0;0;0;0;0;0
fin de contrato indemnizacion;10;0%;-100%;Desconocido;;;;;;;;;0;20;10;0;10;10;10;10;10;0;0;0
fin de doble indemnizacion;10;0%;0%;Desconocido;;;;;;;;;10;0;0;0;0;0;0;0;10;0;0;0
fin de la doble indemnizaci—n 2022;10;°;°;Bajo;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;10
fin doble indemnizacion;10;0%;°;Bajo;29;;;;;;;;10;0;10;10;0;0;0;0;0;10;10;10
fin doble indemnizaci—n 2022;10;-100%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;0;0;10;0;0
finiquito 2.5;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;10;0;0;0;0;0;0;0
finiquito 3 meses;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;0;10;0;0;0
finiquito baja voluntaria calculadora;10;0%;-100%;Desconocido;;;;;;;;;0;0;10;0;0;10;0;0;0;0;0;0
finiquito cuanto corresponde;10;°;°;Bajo;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;10
finiquito cuanto me corresponde;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;10;0;0;0;0;0
finiquito de despido;10;0%;0%;Desconocido;;;;;;;;;0;10;0;0;0;0;0;0;0;0;0;0
finiquito de empleada de hogar;10;0%;0%;Desconocido;;;;;;;;;0;10;0;0;0;0;10;0;0;0;0;0
finiquito de trabajo por despido;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;10;0;0;0;0;0;0
finiquito despido injustificado;10;°;0%;Bajo;0;;;;;;;;0;0;0;10;0;0;10;10;0;0;0;10
finiquito despido objetivo;10;0%;0%;Desconocido;;;;;;;;;0;10;0;0;0;0;0;0;0;0;0;0
finiquito despido voluntario;10;0%;0%;Desconocido;;;;;;;;;10;0;0;0;0;0;0;0;0;0;0;0
finiquito e indemnizacion;10;°;0%;Bajo;0;;;;;;;;0;10;10;10;10;10;10;10;10;0;10;10
finiquito e indemnizaci—n es lo mismo;10;0%;0%;Desconocido;;;;;;;;;0;0;0;10;0;0;0;0;0;0;10;0
finiquito e indemnizaci—n por despido;10;0%;0%;Desconocido;;;;;;;;;0;0;10;10;0;10;0;0;0;0;0;0
finiquito es lo mismo que indemnizacion;10;0%;-100%;Desconocido;;;;;;;;;10;10;0;0;0;0;0;0;0;0;10;0
finiquito fin de contrato estando de baja;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;0;0;0;10;0
finiquito indemnizacion;10;0%;°;Medio;36;;;;;;;;10;0;10;10;0;10;10;10;0;10;10;10
finiquito laboral calcular;10;-100%;0%;Desconocido;;;;;;;;;10;10;10;10;10;0;0;10;10;10;10;0
finiquito laboral por despido;10;°;°;Bajo;0;;;;;;;;10;0;10;10;0;10;10;0;0;0;0;10
finiquito laboral por renuncia voluntaria;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;10;0;0;10;0;0;10;0
finiquito liquidaci—n e indemnizaci—n;10;0%;-100%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;10;0;0;0;0
finiquito por baja voluntaria calcular;10;-100%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;10;0;0;10;0;0
finiquito por cese de actividad;10;0%;0%;Desconocido;;;;;;;;;0;10;10;0;0;0;0;0;0;0;0;0
finiquito por faltas injustificadas;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;10;10;0;0;0
finiquito por liquidacion;10;°;°;Medio;57;;;;;;;;10;0;0;0;0;0;0;0;10;0;0;10
finiquito por muerte;10;-100%;0%;Desconocido;;;;;;;;;10;0;0;0;0;0;0;0;0;10;0;0
finiquito por renuncia con antigŸedad;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;10;0;0;0;0;0;0
finiquito si me despiden;10;-100%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;0;0;10;0;0
finiquito si renuncio;10;-100%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;0;0;10;0;0
finiquito sin indemnizacion;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;10;0;0;0;0;0;0;0
finiquito x despido;10;0%;0%;Desconocido;;;;;;;;;0;0;0;10;0;0;0;0;0;0;0;0
finiquito y liquidaci—n c‡lculo;10;0%;-100%;Desconocido;;;;;;;;;0;0;0;10;0;10;0;10;10;0;0;0
formula calculo despido;10;0%;0%;Desconocido;;;;;;;;;0;0;0;10;0;0;0;0;0;0;0;0
formula calculo indemnizacion despido;10;0%;0%;Bajo;14;;;;;;;;10;0;10;0;10;10;10;10;10;10;10;10
formula de indemnizacion;10;0%;0%;Medio;35;3.49;83.70;;;;;;20;10;20;10;10;10;10;10;20;10;10;10
formula de indemnizaci—n por despido sin justa causa;10;0%;0%;Medio;39;28.66;197.11;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
formula de la indemnizacion;10;0%;0%;Bajo;11;;;;;;;;10;0;10;0;0;10;10;10;10;10;0;10
formula despido sin justa causa;10;°;0%;Bajo;14;;;;;;;;10;10;0;10;10;0;10;0;0;0;10;10
formula indemnizacion;10;0%;0%;Medio;37;3.50;126.39;;;;;;10;10;10;20;10;10;10;10;10;10;10;10
formula indemnizacion despido;10;0%;0%;Medio;57;;;;;;;;10;0;10;10;10;10;0;10;10;10;0;10
formula indemnizacion por despido;10;0%;0%;Desconocido;;;;;;;;;10;10;10;10;10;10;10;0;10;0;0;0
formula indemnizacion sin justa causa;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;10;0;0;0;0
formula indemnizaci—n por despido sin justa causa;10;0%;0%;Medio;43;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
formula para calcular despido;10;0%;0%;Desconocido;;;;;;;;;10;10;0;10;0;10;0;10;10;0;0;0
formula para calcular despido injustificado;10;0%;-100%;Desconocido;;;;;;;;;10;10;10;0;0;0;0;0;0;0;10;0
formula para calcular el finiquito;10;°;°;Bajo;0;;;;;;;;0;0;10;0;0;0;0;10;0;0;10;10
formula para calcular indemnizacion por despido sin justa causa;10;0%;0%;Medio;57;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
formula para calcular la indemnizaci—n por despido injustificado;10;°;°;Medio;57;;;;;;;;0;10;10;0;0;0;10;10;0;0;10;10
formula para calcular liquidacion por despido;10;0%;0%;Desconocido;;;;;;;;;10;0;10;0;10;10;10;10;0;0;10;0
formula para calcular una indemnizacion por despido;10;°;0%;Alto;93;;;;;;;;10;0;0;10;10;10;10;10;10;0;0;10
formula para calculo de indemnizacion;10;0%;°;Bajo;23;;;;;;;;10;0;0;0;10;10;10;10;0;10;10;10
formula para indemnizacion;10;0%;0%;Medio;57;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
formula para indemnizacion laboral;10;0%;-100%;Desconocido;;;;;;;;;10;0;0;0;0;10;10;0;10;0;0;0
formula para indemnizacion por despido sin justa causa;10;-100%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;0;0;10;0;0
formula para indemnizar a un trabajador;10;0%;0%;Desconocido;;;;;;;;;0;10;0;10;0;10;0;0;0;0;0;0
formula para la indemnizaci—n;10;0%;0%;Desconocido;;;;;;;;;10;10;10;10;0;0;10;0;0;0;0;0
formula para liquidar despido sin justa causa;10;°;°;Medio;43;;;;;;;;10;10;0;10;0;0;0;0;0;0;0;10
formula para liquidar indemnizacion;10;0%;°;Alto;71;;;;;;;;10;0;0;0;0;10;0;0;0;10;0;10
formula para liquidar indemnizaci—n por despido sin justa causa;10;°;°;Alto;71;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;10
formula para sacar la indemnizacion;10;-100%;0%;Desconocido;;;;;;;;;0;0;0;0;0;10;10;0;0;10;0;0
formula para sacar liquidacion laboral;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;10;0;0;0;0;0;0;0
fuero sindical despido;10;-100%;-100%;Desconocido;;;;;;;;;10;10;10;10;10;10;10;10;10;10;0;0
hasta cuando corre la doble indemnizacion;10;°;0%;Alto;71;;;;;;;;10;0;0;0;0;0;10;0;0;0;10;10
hasta cuando dura la doble indemnizacion;10;-100%;0%;Desconocido;;;;;;;;;0;0;0;10;0;0;0;0;0;10;0;0
hasta cuando es la doble indemnizacion;10;0%;-50%;Bajo;23;;;;;;;;10;10;10;10;10;0;10;0;10;10;10;10
hasta cuando es la doble indemnizacion 2022;10;0%;0%;Desconocido;;;;;;;;;10;0;0;0;0;0;0;0;0;0;0;0
hasta cuando es la indemnizacion doble;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;0;10;0;0;0
hasta cuando hay doble indemnizacion;10;°;0%;Bajo;29;;;;;;;;10;10;10;10;10;10;10;10;10;0;10;10
hasta cuando la doble indemnizacion;10;0%;0%;Desconocido;;;;;;;;;0;10;0;10;0;0;0;0;0;0;0;0
hasta cuando rige la doble indemnizacion 2022;10;°;°;Bajo;14;;;;;;;;0;10;10;10;10;10;0;0;0;0;0;10
hasta cuando rige la doble indemnizacion por despido;10;0%;°;Bajo;24;;;;;;;;0;10;0;10;10;10;0;0;0;10;10;10
hay doble indemnizacion;10;-100%;-100%;Desconocido;;;;;;;;;10;10;0;0;0;0;0;10;10;10;0;0
hay indemnizacion en estados unidos;10;0%;-50%;Bajo;31;;;;;;;;10;10;20;10;10;10;10;0;10;10;10;10
hay indemnizaci—n por fin de contrato;10;°;°;Bajo;0;;;;;;;;10;10;10;10;0;0;0;10;10;0;10;10
hay que indemnizar a una empleada de hogar;10;0%;°;Medio;57;;;;;;;;10;10;0;10;0;0;10;10;10;10;10;10
horas extras base calculo indemnizacion;10;0%;°;Bajo;21;;;;;;;;10;10;10;0;10;10;0;0;10;10;0;10
horas extras en indemnizacion por despido;10;-100%;-100%;Desconocido;;;;;;;;;10;10;10;10;0;10;10;10;10;10;10;0
horas extras indemnizacion despido;10;0%;°;Bajo;0;;;;;;;;0;0;10;10;0;10;10;10;10;10;10;10
horas extras indemnizacion por despido;10;-100%;-100%;Desconocido;;;;;;;;;10;10;10;10;10;10;0;10;0;10;0;0
ignacio online liquidacion final por despido;10;0%;0%;Bajo;14;;;;;;;;10;10;20;10;20;10;10;10;10;10;10;10
importe indemnizacion despido;10;0%;0%;Desconocido;;;;;;;;;0;10;0;0;10;0;0;0;0;0;0;0
indemnizacion 12 dias por a–o;10;0%;0%;Desconocido;;;;;;;;;0;0;0;10;0;0;0;0;0;0;10;0
indemnizacion 245 calculo;10;0%;0%;Bajo;27;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion 3 meses;10;°;0%;Medio;64;;;;;;;;10;10;10;10;10;10;0;10;10;0;10;10
indemnizacion 3 meses de salario;10;0%;0%;Desconocido;;;;;;;;;0;0;10;0;0;0;10;10;10;0;0;0
indemnizacion 45 dias reforma laboral;10;-100%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;0;0;10;0;0
indemnizacion 6 meses antiguedad;10;0%;0%;Medio;52;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion a todo evento trabajadora de casa particular;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;10;0;0;0;0;0;0;0
indemnizacion agravada por despido;10;0%;0%;Medio;50;;;;;;;;10;0;10;10;10;10;10;10;10;10;10;10
indemnizacion agravada por matrimonio;10;100%;100%;Bajo;4;;;;;;;;10;10;10;20;10;10;10;10;20;10;10;20
indemnizacion alta direccion;10;0%;0%;Desconocido;;;;;;;;;0;10;0;0;0;0;0;0;0;0;0;0
indemnizacion antiguedad calculo;10;0%;100%;Bajo;27;32.12;118.80;;;;;;10;10;20;10;10;10;10;10;10;20;10;20
indemnizacion art 1 ley 25323 calculo;10;0%;0%;Bajo;0;;;;;;;;10;10;10;10;10;10;10;0;10;10;0;10
indemnizacion art 232 lct;10;0%;°;Bajo;20;;;;;;;;10;10;10;10;10;0;0;10;10;10;10;10
indemnizacion art 247 preaviso;10;-100%;0%;Desconocido;;;;;;;;;0;10;10;0;10;0;0;10;0;10;0;0
indemnizacion art 80 lct calculo;10;°;°;Bajo;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;10
indemnizacion a–o trabajado;10;0%;0%;Alto;71;;;;;;;;0;10;0;0;10;0;0;0;10;10;0;10
indemnizacion calculo despido;10;0%;°;Medio;48;;;;;;;;0;10;0;10;10;10;10;10;10;10;10;10
indemnizacion calculo por despido;10;-100%;0%;Desconocido;;;;;;;;;0;0;0;0;0;10;0;0;0;10;0;0
indemnizacion causas objetivas;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;10;0;0;10;0
indemnizacion cese actividad;10;0%;-100%;Desconocido;;;;;;;;;0;0;0;0;0;10;10;0;0;0;0;0
indemnizacion contrato;10;0%;-100%;Desconocido;;;;;;;;;10;10;10;0;10;0;10;0;10;0;0;0
indemnizacion cuantos dias por a–o;10;0%;-100%;Desconocido;;;;;;;;;0;10;10;0;0;0;0;0;0;0;10;0
indemnizacion de 3 meses de salario;10;0%;-100%;Desconocido;;;;;;;;;10;0;0;0;0;0;0;0;0;0;0;0
indemnizacion de 33 dias por a–o trabajado;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;10;0;0;0;0;0
indemnizacion de antiguedad;10;0%;0%;Desconocido;;;;;;;;;10;10;10;0;0;10;10;0;0;0;0;0
indemnizacion de despido;10;0%;0%;Bajo;18;;;;;;;;10;20;20;10;10;20;10;10;10;10;0;10
indemnizacion de empleada domestica;10;0%;0%;Bajo;7;;;;;;;;10;20;10;10;10;10;10;10;10;10;10;10
indemnizacion de preaviso;10;0%;-50%;Bajo;16;;;;;;;;20;20;20;10;0;10;10;10;10;10;10;10
indemnizacion de servicio domestico;10;0%;-100%;Desconocido;;;;;;;;;0;0;10;0;0;0;10;10;10;0;0;0
indemnizacion de trabajo;10;°;0%;Alto;71;;;;;;;;0;10;10;0;10;10;0;10;10;0;10;10
indemnizacion delegado sindical;10;0%;0%;Bajo;2;;;;;;;;20;20;20;10;10;10;10;10;10;10;10;10
indemnizacion despido cierre empresa;10;-100%;0%;Desconocido;;;;;;;;;0;10;10;0;0;0;0;0;0;10;0;0
indemnizacion despido empleada hogar;10;°;0%;Medio;57;;;;;;;;10;10;10;10;10;10;10;10;10;0;0;10
indemnizacion despido empleada hogar por horas;10;0%;0%;Desconocido;;;;;;;;;10;0;0;0;0;0;0;0;0;0;0;0
indemnizacion despido en periodo de prueba;10;0%;0%;Medio;54;;;;;;;;10;10;10;10;10;10;10;10;10;10;0;10
indemnizacion despido ganancial;10;0%;0%;Desconocido;;;;;;;;;0;10;10;10;0;10;10;0;0;0;0;0
indemnizacion despido jubilacion empresario;10;-100%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;0;0;10;0;0
indemnizacion despido periodo de prueba;10;0%;0%;Medio;33;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion despido por a–o trabajado;10;0%;0%;Desconocido;;;;;;;;;10;0;0;0;0;0;10;0;0;0;0;0
indemnizacion despido por cese actividad;10;0%;0%;Desconocido;;;;;;;;;10;10;0;0;0;10;0;0;0;0;0;0
indemnizacion despido por cierre;10;°;0%;Bajo;0;;;;;;;;10;10;0;10;0;0;0;0;0;0;0;10
indemnizacion despido por cierre empresa;10;0%;0%;Medio;57;;;;;;;;10;0;10;10;10;0;0;0;0;10;10;10
indemnizacion despido por fuerza mayor;10;0%;°;Bajo;17;;;;;;;;10;10;10;10;0;10;0;10;0;10;10;10
indemnizacion despido reforma laboral;10;0%;0%;Bajo;0;;;;;;;;0;30;20;10;10;10;20;10;10;10;10;10
indemnizacion despido sin justa causa calculadora;10;0%;0%;Bajo;19;;;;;;;;10;10;10;10;10;10;10;10;10;10;0;10
indemnizacion despido sin justa causa mujer embarazada;10;0%;°;Alto;100;;;;;;;;10;10;10;10;0;10;0;0;0;10;0;10
indemnizacion dias por a–o trabajado;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;10;0;0;10;0;0;0;0
indemnizacion doble 2021;10;0%;-100%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;10;0;0;0;0
indemnizacion doble 2022;10;-100%;0%;Desconocido;;;;;;;;;0;0;10;0;0;0;0;0;0;10;0;0
indemnizacion empleada de hogar;10;-100%;0%;Desconocido;;;;;;;;;10;0;0;10;0;0;0;0;0;10;0;0
indemnizacion empleada de hogar por fallecimiento del empleador;10;0%;-100%;Desconocido;;;;;;;;;0;10;0;0;0;0;0;0;10;0;10;0
indemnizacion empleada del hogar;10;°;°;Medio;57;;;;;;;;0;0;10;0;10;0;0;10;0;0;0;10
indemnizacion empleada domestica por hora;10;0%;0%;Bajo;14;;;;;;;;20;20;10;20;10;10;10;10;0;10;10;10
indemnizacion empleada hogar por fallecimiento empleador;10;-100%;-100%;Desconocido;;;;;;;;;0;0;0;10;0;10;0;0;0;10;10;0
indemnizacion empleada hogar por horas;10;0%;0%;Desconocido;;;;;;;;;0;10;0;0;0;0;0;0;0;0;10;0
indemnizacion empleadas de casa particular;10;-100%;0%;Desconocido;;;;;;;;;10;10;10;10;10;0;0;0;0;10;10;0
indemnizacion en caso de despido;10;0%;0%;Medio;64;;;;;;;;0;10;10;10;0;10;10;10;10;10;10;10
indemnizacion ere;10;-100%;-100%;Desconocido;;;;;;;;;0;10;10;10;10;10;10;0;10;10;10;0
indemnizacion es lo mismo que finiquito;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;10;0;0;0;0;0;0
indemnizacion es lo mismo que liquidacion;10;0%;-100%;Desconocido;;;;;;;;;0;10;0;0;0;0;0;0;0;0;0;0
indemnizacion especial por despido;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;10;0;0;0;0;10;0
indemnizacion fallecimiento empleador;10;0%;-50%;Bajo;13;;;;;;;;10;20;20;10;20;10;10;20;10;10;10;10
indemnizacion falta de preaviso;10;0%;0%;Bajo;26;40.00;203.23;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion falta preaviso;10;0%;0%;Bajo;18;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion fin contrato;10;0%;0%;Desconocido;;;;;;;;;10;10;0;10;0;0;10;10;0;0;10;0
indemnizacion fin de contrato;10;0%;0%;Alto;86;;;;;;;;10;10;10;10;10;0;0;10;10;10;10;10
indemnizacion finalizacion contrato;10;0%;0%;Desconocido;;;;;;;;;10;10;0;10;0;0;10;10;0;0;10;0
indemnizacion jubilacion trabajador;10;0%;0%;Desconocido;;;;;;;;;0;0;0;10;0;0;0;0;0;0;10;0
indemnizacion laboral despido sin justa causa;10;°;°;Medio;57;;;;;;;;10;10;10;10;10;10;10;10;10;0;10;10
indemnizacion laboral por cierre de empresa;10;0%;0%;Medio;43;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion legal;10;0%;0%;Bajo;21;;;;;;;;30;10;10;10;0;10;10;10;10;10;10;10
indemnizacion legal despido;10;0%;-100%;Desconocido;;;;;;;;;10;0;0;0;0;0;0;0;0;0;0;0
indemnizacion ley 25323;10;0%;0%;Bajo;0;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion ley contrato de trabajo;10;0%;0%;Bajo;32;21.11;95.54;;;;;;10;10;10;10;10;10;10;20;10;10;10;10
indemnizacion liquidacion;10;0%;°;Medio;43;;;;;;;;10;10;10;10;10;10;10;0;10;10;10;10
indemnizacion menos de un a–o;10;0%;0%;Alto;86;;;;;;;;10;0;10;10;10;10;10;10;0;10;0;10
indemnizacion mes por a–o;10;°;°;Bajo;14;;;;;;;;10;0;10;10;0;0;0;0;0;0;0;10
indemnizacion minima por despido;10;0%;0%;Bajo;11;;;;;;;;10;10;10;10;10;10;10;10;10;10;0;10
indemnizacion mujer embarazada despido;10;0%;0%;Medio;43;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion personal casas particulares;10;0%;0%;Bajo;20;;;;;;;;20;10;10;10;0;10;10;10;10;10;10;10
indemnizacion por 1 a–o de trabajo;10;0%;0%;Alto;71;;;;;;;;10;20;10;10;10;10;10;10;10;10;10;10
indemnizacion por 10 meses de trabajo;10;-100%;-100%;Desconocido;;;;;;;;;10;10;10;10;10;10;10;0;10;10;10;0
indemnizacion por 2 meses de trabajo;10;0%;0%;Medio;50;;;;;;;;10;10;10;10;10;10;0;10;0;10;0;10
indemnizacion por 5 meses de trabajo;10;0%;0%;Medio;52;;;;;;;;20;10;10;10;10;10;10;10;10;10;0;10
indemnizacion por 7 meses de trabajo;10;0%;0%;Bajo;14;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion por antiguedad es remunerativa;10;0%;-50%;Bajo;0;;;;;;;;30;10;10;10;10;10;10;10;10;10;10;10
indemnizacion por antiguedad ganancias;10;-50%;0%;Bajo;9;;;;;;;;10;10;10;10;10;10;10;10;10;20;10;10
indemnizacion por antiguedad lct;10;100%;100%;Bajo;14;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;20
indemnizacion por antiguedad ley de contrato de trabajo;10;0%;-67%;Bajo;21;;;;;;;;20;30;10;10;10;10;10;20;30;10;10;10
indemnizacion por antiguedad servicio domestico;10;0%;0%;Bajo;14;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion por a–o;10;0%;0%;Bajo;32;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion por a–o trabajado despido;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;10;0;0;0;0
indemnizacion por cada a–o de trabajo;10;-100%;0%;Desconocido;;;;;;;;;0;10;10;0;0;10;0;0;0;10;10;0
indemnizacion por cambio sustancial condiciones trabajo;10;0%;0%;Desconocido;;;;;;;;;0;0;0;10;0;0;0;10;0;0;0;0
indemnizacion por causas objetivas;10;0%;0%;Desconocido;;;;;;;;;0;0;0;10;0;10;0;0;0;0;0;0
indemnizacion por cierre de negocio;10;0%;°;Medio;57;;;;;;;;10;10;10;0;10;10;10;10;10;10;10;10
indemnizacion por cierre empresa;10;0%;0%;Medio;57;;;;;;;;10;10;0;10;10;10;10;0;10;10;10;10
indemnizacion por despido 1 a–o de antiguedad;10;0%;-50%;Medio;49;38.07;189.68;;;;;;10;10;10;20;10;10;10;10;10;10;10;10
indemnizacion por despido 2022;10;0%;°;Bajo;0;;;;;;;;10;0;10;10;0;0;10;10;0;10;10;10
indemnizacion por despido 3 meses trabajo;10;0%;0%;Alto;67;64.13;385.07;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion por despido 6 meses antiguedad;10;0%;-50%;Medio;52;15.74;185.23;;;;;;20;10;10;20;10;10;10;10;10;10;10;10
indemnizacion por despido a persona con discapacidad;10;-100%;0%;Desconocido;;;;;;;;;10;10;10;0;0;10;10;10;10;10;0;0
indemnizacion por despido art 245 lct;10;0%;0%;Medio;48;;;;;;;;10;0;10;10;10;10;10;10;10;10;10;10
indemnizacion por despido base de calculo;10;0%;0%;Bajo;25;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion por despido cierre empresa;10;0%;0%;Bajo;29;;;;;;;;10;10;0;10;10;10;10;10;10;10;10;10
indemnizacion por despido cuantos dias por a–o trabajado;10;0%;0%;Desconocido;;;;;;;;;10;0;0;10;0;0;0;0;0;0;0;0
indemnizacion por despido de embarazada;10;0%;°;Medio;39;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion por despido dias;10;0%;0%;Desconocido;;;;;;;;;10;0;10;0;0;10;10;0;0;0;0;0
indemnizacion por despido ejemplos practicos;10;0%;-100%;Desconocido;;;;;;;;;0;10;0;10;0;0;0;10;10;0;10;0
indemnizacion por despido empleada de hogar;10;-100%;-100%;Desconocido;;;;;;;;;0;10;10;10;10;0;10;10;10;10;10;0
indemnizacion por despido empleada hogar;10;°;°;Medio;57;;;;;;;;0;0;0;10;0;10;0;0;0;0;10;10
indemnizacion por despido empleadas del hogar;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;10;0;0;0;0
indemnizacion por despido empleo domestico;10;0%;0%;Medio;43;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion por despido en embarazo;10;0%;0%;Bajo;32;;;;;;;;10;10;10;10;10;10;10;0;10;10;10;10
indemnizacion por despido encargado de edificio;10;0%;0%;Medio;37;;;;;;;;20;10;10;20;10;10;10;20;10;10;10;10
indemnizacion por despido improcedente sin preaviso;10;0%;0%;Desconocido;;;;;;;;;10;0;0;0;0;0;0;0;0;0;0;0
indemnizacion por despido incausado;10;0%;0%;Bajo;19;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion por despido injustificado menos de un a–o;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;10;0;0;0;0
indemnizacion por despido involuntario;10;-100%;-100%;Desconocido;;;;;;;;;10;10;0;0;10;0;0;10;0;10;0;0
indemnizacion por despido jornaleros;10;-100%;-100%;Desconocido;;;;;;;;;10;10;10;10;10;10;10;0;0;10;10;0
indemnizacion por despido jubilacion empresario;10;°;°;Bajo;14;;;;;;;;0;0;0;0;0;10;0;0;0;0;0;10
indemnizacion por despido justificado;10;0%;0%;Bajo;24;3.58;180.71;;;;;;10;10;10;10;10;10;10;20;10;10;10;10
indemnizacion por despido ley contrato de trabajo;10;0%;0%;Medio;37;14.35;107.06;;;;;;10;20;10;10;10;10;10;20;10;10;20;10
indemnizacion por despido menos de un a–o;10;0%;-50%;Bajo;29;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion por despido monotributista;10;0%;0%;Medio;34;;;;;;;;10;20;10;10;10;10;20;20;10;10;10;10
indemnizacion por despido no remunerativo;10;0%;0%;Bajo;14;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
indemnizacion por despido peon rural;10;0%;0%;Medio;36;;;;;;;;20;20;10;10;10;10;10;10;10;10;10;10
indemnizacion por despido personal de casas particulares;10;-100%;0%;Desconocido;;;;;;;;;0;0;0;10;0;0;10;10;10;10;10;0
indemnizacion por despido personal domestico;10;0%;-67%;Medio;35;4.81;138.70;;;;;;20;20;10;20;10;10;10;20;10;10;10;10
indemnizacion por despido por fallecimiento del empleador;10;0%;0%;Bajo;32;;;;;;;;10;10;10;10;10;10;10;10;10;10;0;10
indemnizacion por despido que sueldo se toma;10;0%;0%;Medio;51;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
